ProteinId	40C_0h_A	40C_0h_B	40C_0h_C	40C_0.5h_A	40C_0.5h_B	40C_0.5h_C	40C_1h_A	40C_1h_B	40C_1h_C	40C_2h_A	40C_2h_B	40C_2h_C	40C_4h_A	40C_4h_B	40C_4h_C	40C_8h_A	40C_8h_B	40C_8h_C	40C_16h_A	40C_16h_B	40C_16h_C	40C_24h_A	40C_24h_B	40C_24h_C	Synonym	MapMan	MapManDescription	GO	GODescription	Localization
Cre09.g396300.t1.2	685823066.7	669210700.2	673479693.9	709519472.4	754992731.4	848541911.9	704482565.7	681275036.1	721926818.9	767511670.5	628485684.5	717299403.6	781894849.7	689539649.7	693460920.4	708475544.4	822646011.3	753548063.1	729312514.5	675422703.7	743959424	831328020.9	663926084.6	652236900.1	PPX1	GMM:19.9	tetrapyrrole synthesis.protoporphyrin IX oxidase			Chloroplast
Cre09.g396400.t1.2;Cre01.g007051.t1.2;Cre11.g467567.t1.1	914809827.9	794204114	645462644.7	765939258.7	1027249301	1287649600	889696422.2	632915497.9	627167396.4	800900602.4	1377487501	525685805	737839318.1	580658417.6	640757062.9	670565132.3	865559329.7	565843696.7	593694210.5	821564619.1	1015353101	589226704.9	768921264.4	778560217.3	UBQ2;RPL40;UBQ1	GMM:29.5.11.1;GMM:29.5.11;GMM:29.5.11;GMM:29.2.1.2.2.40;GMM:29.5.11.1	protein.degradation.ubiquitin.ubiquitin;protein.degradation.ubiquitin;protein.degradation.ubiquitin;protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L40;protein.degradation.ubiquitin.ubiquitin	GO:0005515;GO:0006412;GO:0005840;GO:0003735;	protein binding;translation;ribosome;structural constituent of ribosome;	;;
Cre09.g396650.t1.2	155555036.4	101217752.2	134732687.7	124396122.4	115084959	141004798.2	100687589.7	135171068.1	137922581	105109528.8	88180292.09	125639667.5	61865093.79	135402858.3	101833968.3	58635429.88	136695040.5	156157251.3	99733938.15	134101609.6	130847393.8	55917118.29	141707216	110764579.8	PAT2	GMM:2.2.1.2	major CHO metabolism.degradation.acetate metabolism.phosphate acetyltransferase	GO:0016746;GO:0008152	transferase activity, transferring acyl groups;metabolic process	Chloroplast
Cre09.g397200.t1.2	505226048.2	458443025.1	634390038.4	450797070.3	541003214.9	426309377.7	508572101	491200093.6	527762751.4	436517721.6	408691274.6	510221117.1	533140059.5	511039149	529578936.2	545562469.4	564743876.6	574558369.4	516269321.5	574173585.2	607505020.9	471240620.6	598026839.5	608128876.9	CCT6	GMM:29.6.2.2;GMM:29.6	protein.folding.chaperones and co-chaperones.HSP60s;protein.folding	GO:0051082;GO:0006457;GO:0005524	unfolded protein binding;protein folding;ATP binding	Cytosol
Cre09.g397549.t1.1	276993563.6	244951496.4	261220837.4	274768711.5	276959635.7	279384779.4	256685648.9	278985801.1	302469457.7	214279082.3	264682237.6	274284150.4	216201385.9	277051423.7	276945265.2	206120210.1	311812470.7	276874833.8	167459475.1	273298119.1	247543273.6	215689231.5	310767075.6	252771303.9						
Cre09.g397697.t1.1	3506573734	3570852821	3931973568	3554011304	3695266376	3534567435	3755124457	3410016873	3177768689	3371425440	2930105968	2813087883	3470735656	3062093719	2719450082	2774211640	2329141469	2732727691	2798273857	2323947249	2050165822	2748922537	2441319314	2252027504	RPL4	GMM:29.2.1.2.2.141	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L4/L1	GO:0006412;GO:0005840;GO:0003735	translation;ribosome;structural constituent of ribosome	
Cre09.g398067.t1.1	66250599.1	62626930.95	76260378.9	672685117.4	1038960631	905794569.7	1992490364	2075872005	2106171963	2424194780	2735790253	2634413947	2123408496	2134176245	1890441967	1719810648	2084251512	1695294324	1443034858	1398574045	1533681938	1356811595	1600735989	1531521657	FKB62	GMM:31.3.1;GMM:29.6.3.1	cell.cycle.peptidylprolyl isomerase;protein.folding.immunophilins (IMM).FKBPs	GO:0006457	protein folding	
Cre09.g398900.t1.1	612693052.5	543294865.9	581415686	494915831.4	427955865.2	458086417.8	525737191.9	441308902.3	533569279.6	603668418.7	474502821.2	419503685.4	617254332.2	675226570.8	504819043.3	597526853.2	527117955	454518594.8	860723090.7	519078972.3	603876956.1	736496492.8	443757515.1	612284522.5	GP1	GMM:1.5	PS.carbon concentrating mechanism			Chloroplast
Cre09.g400050.t1.1	109502390.6	102021885.9	74063433.21	105064958.1	83883705.12	85864839.36	90657597.74	90249716.29	91978848.64	102403930.1	96989853.3	95444209.18	98190469.23	115715303	73446302.73	96102329.72	138000096.7	108768797.9	72929902.82	49802341.32	69872029.07	65274283.08	52924950.62	61101289.5						
Cre09.g400650.t1.2	1710931337	1704958780	1847112050	1757992894	1728666462	929594772.3	1770101951	1563892841	918990253.4	1254226653	1637435257	1353902843	1296799553	1364664388	1110045545	1427149046	983878027.5	657783493.4	1308185273	1143624775	846740850.7	1197907777	846480882.4	968597894.1	RPS6	GMM:29.2.1.2.1.6	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S6	GO:0006412;GO:0005840;GO:0005622;GO:0003735	translation;ribosome;intracellular;structural constituent of ribosome	
Cre09.g401515.t1.1	67722431.38	67768611.75	30997453.45	81658649.68	78885249.19	88490363.96	66267354.39	65828952.8	56794964.39	73777719.46	74685895.88	84213525.69	95639108.93	70825414.19	94380711.77	87780118.54	126283378.9	82211317.11	77940065.9	86725049.01	79533983.03	134954742	84839836.6	66239329.81						Chloroplast
Cre09.g401886.t1.1	248853245.5	180165016.1	206145406.1	196358265.5	140767639.5	238970043.5	173836355.5	178485790.7	180540159.7	109709588.9	138477995	157608759.6	146552769.7	174947689	228793365.6	184283586.7	168323461.2	174971261.3	174297032.8	164779155.2	174178031.4	138496027.1	125289411	189397707.3		GMM:21.2.1	redox.ascorbate and glutathione.ascorbate	GO:0055114;GO:0020037;GO:0006979;GO:0004601	oxidation-reduction process;heme binding;response to oxidative stress;peroxidase activity	Mitochondrion
Cre09.g401900.t1.2	188058554.3	168433996.8	147498939.4	187355839.2	165684623.7	194245767.6	193571268	182480941.9	164235116.8	164656558	167816077.9	175074246	236219401.9	163870610.5	109137791.9	170752225	180673515.1	200708594.6	51471839.62	185555291.7	188473843.6	100443102.9	55565563.56	82765501.53						Secretory pathway
Cre09.g402300.t1.2	103494168.1	99055117.21	104462770.5	181926895.1	171349154.3	122668310.5	123450279.4	112046318.8	43382169.87	126495526.3	144405299.4	125534822.2	115407325.6	136952970.4	177032085.2	101880701.4	135198064.3	191538822.4	142401916.5	165452066.5	152337493.6	122424041	167090552.2	205263962.5	ASA8	GMM:9.9	mitochondrial electron transport / ATP synthesis.F1-ATPase			
Cre09.g402450.t1.2	55702744.19	73415996.06	41423211.32	72223282.25	74748635.96	74382846.68	64471773.87	66925744.98	86045733.17	56263440.82	48691120.35	51891454.34	62810925.18	66094743.59	85899816.21	64659569.51	74658810.39	62494854.34	77753954.86	73737860.87	102638159.3	68796540.85	97179102.3	108716966.3		GMM:29.5.11.20	protein.degradation.ubiquitin.proteasom	GO:0016887;GO:0005524	ATPase activity;ATP binding	
Cre09.g402500.t1.2	184449631	187707160.7	211825509.3	185500377.3	215866109.4	240719921.5	309246189.5	197947425.4	251886413.4	214062200.6	236735329.6	290622549.4	163834346.8	193990307.1	184538218	167418820.7	210449907.5	230793581.3	151491687.5	182058556.2	252758616.7	193533499.2	183394344.7	229499688.1	ATPVA2	GMM:34.1	transport.p- and v-ATPases	GO:0033179;GO:0015991;GO:0015078	proton-transporting V-type ATPase, V0 domain;ATP hydrolysis coupled proton transport;hydrogen ion transmembrane transporter activity	
Cre09.g402775.t1.1	170710193.3	159828355.4	141003969	133799420.1	180338266.3	126726538.2	140472602.4	149330826.5	164655992.6	160535806.4	180819075.3	156105976.3	135970358.5	142010635.4	129995185.5	138984599.2	144256689.6	157445086.3	141902923.1	202750578.7	192050373.3	135851413.5	153906557.2	193229212.6						
Cre09.g402950.t1.1	61489786.09	44429200.83	56837781.2	52480938.44	38737743.85	59584277.22	57076398.18	52327912.28	73294424.13	56928183.12	40117444.27	55305917.62	55899429.8	74124776.89	59419145.17	47564572.57	46405303.36	56374249.23	68430564.53	47022080.53	53834503.57	48429343.41	65359240.31	37079164.1	CGL21					Chloroplast
Cre09.g403800.t1.2	374701389.5	129572960.6	261124970.7	263280882.5	196161883.4	155906684.9	343883871.3	268949724.2	322398709.5	226142509.2	240763005.2	330961794.6	188405524.7	157172315.9	282773150.8	298226692	155359263.3	150134444.2	108157033.9	130376564.9	123034686.1	262713411.1	251295773.8	295765614	DHC14	GMM:31.6.1.4.2.1;GMM:31.6.1.4.1	cell.motility.eukaryotes.axonemal dyneins.inner arm.monomeric species;cell.motility.eukaryotes.axonemal dyneins.outer arm	GO:0030286;GO:0016887;GO:0007018;GO:0005524;GO:0003777	dynein complex;ATPase activity;microtubule-based movement;ATP binding;microtubule motor activity	
Cre09.g403900.t1.2	64425662.57	69858708.25	60490303.27	68549009.53	54137389.99	58996020.36	73779140.81	53259757.21	74964227.42	64542898.28	58608850.85	62963122.4	57391413.52	60866226.77	74126797.47	56954603.12	71471978.31	88714399.52	52148852.23	89256877.79	76247080.01	53053444.5	68110051.83	88914194.87	FAP294	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins			
Cre09.g404000.t1.1	533853745	396836182.8	434276246.9	479121498.2	488643954.6	385336170.1	534610764.1	444147280.5	403448490.2	430032959.9	380463887.8	433474327.2	471961914	439190887.1	507842187.1	538994532.9	506879988	533492895.1	449970635.9	475519981.8	458280242	362766064.7	356693397.6	353171703.4	CPLD59	GMM:1.1.99	PS.lightreaction.unspecified			Chloroplast
Cre09.g405050.t1.2	121299276.1	114325891.1	104127237	111210889.3	109238561.1	114160924.8	103329893.6	90139394.42	115584984	108776997.7	83371763.48	96545085.27	115793379.2	107867436.2	136903586.4	114174748.6	120055574	111906080.1	81739158.61	104786709.3	104141951	96781504.97	110187932.5	111836736.4	ATPVD2	GMM:34.1.1.3;GMM:34.1.1	transport.p- and v-ATPases.H+-transporting two-sector ATPase.subunit D;transport.p- and v-ATPases.H+-transporting two-sector ATPase	GO:0042626	ATPase activity, coupled to transmembrane movement of substances	Chloroplast
Cre09.g405800.t1.2	50596872.05	76060176.94	47940550.58	66580158.28	51064146.28	46376421.35	61611801.09	59428142.16	66023555.21	44447727.86	40487676.29	49989385.1	51219097.29	48364629.2	40058194.33	44783542.79	50917343.23	51665421.09	60925740.88	53847323.74	43802698.26	40157264.69	33433657.6	27026657.22		GMM:17.7.1;GMM:17.5.1	hormone metabolism.jasmonate.synthesis-degradation;hormone metabolism.ethylene.synthesis-degradation			Chloroplast
Cre09.g405850.t1.1	152886057.8	142758148.8	167111672.8	135231103.7	138080173	129248968.8	144568942	147242208.6	141531201.9	160492430.1	160074862.9	175449941.8	145598990.1	166190121.3	160789871.3	163859422.8	138806160.8	226552440.6	157371717.4	162904616.6	161242743.5	153285432.4	189830870.5	179108328.6	NUO7	GMM:9.1.2;GMM:9.1.1	mitochondrial electron transport / ATP synthesis.NADH-DH (type I).localisation not clear;mitochondrial electron transport / ATP synthesis.NADH-DH (type I).complex I	GO:0055114;GO:0051287;GO:0048038;GO:0016651	oxidation-reduction process;NAD binding;quinone binding;oxidoreductase activity, acting on NAD(P)H	Mitochondrion
Cre09.g406050.t1.2	148998632.4	162997141.4	155527777.3	185809621	147231459.7	146589515.3	168630819.3	149287983.1	156215093.3	146514406.9	142415917.4	138649227	133756227.4	122085471.8	130949257.5	68567844.86	123308618.5	97410674.55	114973607.2	103859053.1	131112252.4	39475527.6	51054813.1	48902383.93	PYR7	GMM:23.1.1.10	nucleotide metabolism.synthesis.pyrimidine.CTP synthetase	GO:0006221;GO:0003883	pyrimidine nucleotide biosynthetic process;CTP synthase activity	
Cre09.g406200.t1.2	64013711.53	120761131.1	55390992.6	73468274.29	61855747.32	105430150.5	39490691.18	98456378.12	115818803.9	104785290.7	115108501.1	107815959.5	129259838.1	125909835.9	152444614.9	93655949.92	103995918.6	97033038.74	62034315.33	83364097.38	149977190.1	120294400.4	107213241.8	98721518.67	PRORS1	GMM:29.1.40;GMM:29.1.15	protein.aa activation.bifunctional aminoacyl-tRNA synthetase;protein.aa activation.proline-tRNA ligase	GO:0006433;GO:0006418;GO:0005737;GO:0005524;GO:0004827;GO:0004812;GO:0000166	prolyl-tRNA aminoacylation;tRNA aminoacylation for protein translation;cytoplasm;ATP binding;proline-tRNA ligase activity;aminoacyl-tRNA ligase activity;nucleotide binding	Chloroplast
Cre09.g406600.t1.1	80788822.36	84248469.2	79681223.07	110149152.8	118167436.7	101126445.4	94751740.98	90898794.47	84027087.79	125585326.5	106313807.7	126120208.7	156919445	154275756	191331670.5	180102706.7	183571507.5	195353912.4	232760174	152270214.8	184330428.6	213362425.6	198485458.4	211979485.9						Secretory pathway
Cre09.g406983.t1.1	31628079.25	25095038.73	35826192.59	66365978.41	98101669.13	86083251.91	47342924.06	61881646.23	46645277.96	59309678.09	49009744.27	48739104.4	41897037.64	39766598.62	46677410.74	91338103.94	49467387.41	32902730.83	58716683.78	49577941.85	60721642.49	44948214.79	73837626.99	53337854.93		GMM:31.1	cell.organisation			
Cre09.g407600.t1.2	88166807.6	49106415.74	50201407.42	67205517.66	44415016.73	64371310.54	71571729.89	56011377.44	52799657.13	58185012.35	32431203.13	39378162.83	68647147.67	76358296.09	42268838.63	54132509.1	58207425.52	56406203.03	70410660.66	57637256.33	61340062.62	82005720.02	82379238.8	64095016.64						
Cre09.g408200.t1.2	130698722.5	158309074.5	159857757.5	155343394.5	141161492.3	129053503.7	98930446.72	80244700.86	78281052.23	158139264	129760713.8	107466475	116213496.4	141764309.9	65572568.48	118054774.8	82756876	105194259	107127131.7	168964295.7	120148725.5	125624817.9	106746928.8	121977002	SRS4	GMM:27.1.1	RNA.processing.splicing	GO:0008270;GO:0003676	zinc ion binding;nucleic acid binding	
Cre09.g409100.t1.2	202761145.2	171733006.8	160345080	165010122	188887189.7	212787028.3	193812875.2	194573504.2	194545973.3	195106743.4	173178832.6	195108443.4	171123947.6	176045213.6	192205278.7	141134362.5	142817289.4	150134444.2	142132190.4	142452919.5	174992284.6	184021970.7	151128797.3	131251913	UROS1	GMM:19.6	tetrapyrrole synthesis.uroporphyrinogen III synthase	GO:0033014;GO:0004852	tetrapyrrole biosynthetic process;uroporphyrinogen-III synthase activity	Chloroplast
Cre09.g409350.t1.2	306746873	290953153	298720703.1	294583212.2	360989298	312911697.5	326147709	301971309.2	235246228.6	237322758.9	259981412.8	237666914.9	257872468.6	261301379.5	287325108.9	238522030.3	254658686.2	238685201.6	220204422.1	251236241.3	232773339.3	247572147.4	176605416.4	175276823.3	RLI1	GMM:27.2	RNA.transcription	GO:0016887;GO:0005524	ATPase activity;ATP binding	
Cre09.g409500.t1.2	64748260.86	101167637.9	78740930.31	73526686.98	61476667.11	41278505.45	37408476.7	38024628.27	39608920.81	13684148.48	38768838.76	57179154.39	64073147.49	69438233.57	54495903.69	58046731.66	55461049.91	86016724.18	81806590.14	115359828.2	88513443.41	89837408.15	179248434.3	155205054.7		GMM:27.3.67	RNA.regulation of transcription.putative transcription regulator	GO:0003676	nucleic acid binding	
Cre09.g410650.t1.2;Cre09.g410650.t2.1;Cre09.g410650.t3.1	273245389.3	253513729.7	266709207.2	288146362.9	258158954.4	274302686.8	235984307.7	246949615.3	258589251.4	245943805	239349392	276389794.3	210478708.6	203596476.3	251334753.8	239002266.5	225218153.8	226552440.6	256185889.4	251692859.7	245255119.1	230751043.3	191986743.9	254250713.7	HIS1;HIS1;HIS1	GMM:13.1.7.1;GMM:13.1.7.1;GMM:13.1.7.1	amino acid metabolism.synthesis.histidine.ATP phosphoribosyltransferase;amino acid metabolism.synthesis.histidine.ATP phosphoribosyltransferase;amino acid metabolism.synthesis.histidine.ATP phosphoribosyltransferase	GO:0005737;GO:0003879;GO:0000287;GO:0000105;GO:0005737;GO:0003879;GO:0000287;GO:0000105;GO:0005737;GO:0003879;GO:0000287;GO:0000105	cytoplasm;ATP phosphoribosyltransferase activity;magnesium ion binding;histidine biosynthetic process;cytoplasm;ATP phosphoribosyltransferase activity;magnesium ion binding;histidine biosynthetic process;cytoplasm;ATP phosphoribosyltransferase activity;magnesium ion binding;histidine biosynthetic process	Chloroplast;Chloroplast;Chloroplast
Cre09.g410700.t1.2	1447630794	921378781.1	1221661583	1340857568	1175998252	1277597109	1405604595	1265809574	1200431506	1563391462	1412715639	1488366993	1823308573	1666992823	1706639419	2230132254	2087610113	2048044908	2414993010	2269753856	2332474614	3051520806	2600314976	2624622696	MDN5	GMM:8.2.9	TCA / organic transformation.other organic acid transformations.cyt MDH	GO:0055114;GO:0016616;GO:0016615;GO:0016491;GO:0006108	oxidation-reduction process;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;malate dehydrogenase activity;oxidoreductase activity;malate metabolic process	Chloroplast
Cre09.g411100.t2.1;Cre09.g411100.t1.2	2101762641	2796887700	2139106105	1711262742	2198625574	1441415476	2246068067	2089260581	1775706466	2152550498	1898841502	1784904567	1802529804	1634180231	1619508505	1972923384	1767199625	1718242962	1644520286	1465024036	1488743408	1343872284	1501752379	1397211189	RPS10;RPS10	GMM:29.2.1.2.1.10;GMM:29.2.1.2.1.10	protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S10;protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S10	;	;	;
Cre09.g411200.t1.2	61119610.36	55231673.2	68889026.94	67984353.52	58527690.8	75104205.97	101319063	82930984.84	85453389.35	93416353.97	97762569.95	103202764.5	153513089.5	119879107.8	97799278.23	112177530.9	108866636.3	94444780.95	115721955.2	112408631.5	122354424	129313656.5	124594971	130462340.3	TEF5	GMM:26.30;GMM:1.1.1.3	misc.other Ferredoxins and Rieske domain;PS.lightreaction.photosystem II.biogenesis			Chloroplast.Stroma.Thylakoid.Membrane
Cre09.g411900.t1.1	839463401	823406864.1	883651502.3	768573556.4	841130664.8	835455058.2	787628377	821019641.9	792103973	835655888.7	718654010.3	660088795.6	694215258.2	712146394.2	751004107.1	751061197.3	753295708.9	782780948.5	852348094	832090874.5	990832742.4	809467395.8	1013063561	915405629.4	SHMT3	GMM:25.1;GMM:1.2.5	C1-metabolism.glycine hydroxymethyltransferase;PS.photorespiration.serine hydroxymethyltransferase	GO:0016740	transferase activity	Chloroplast
Cre09.g412100.t1.2	6049530145	4676780829	5734587482	6212475899	5680863898	4509193642	6565894362	7757126991	5013800696	8899305247	7261147465	7076973178	7773984604	7073037082	8082024485	8160343329	6229916054	6314651819	8300552284	9062673294	7955253564	8739369445	8704338795	8861498839	PSAF	GMM:1.1.2.2	PS.lightreaction.photosystem I.PSI polypeptide subunits	GO:0015979;GO:0009538;GO:0009522	photosynthesis;photosystem I reaction center;photosystem I	Chloroplast
Cre09.g414050.t1.2	60725065.7	64471772.1	68946546.97	46857285.36	79624302.47	75959598.47	84426329.3	87713384.36	128686693.9	70784752.52	74783502.51	63130001.23	67977231.08	72183176.62	52280847.34	64179333.29	71921071.18	55185180.56	55265537.8	64150076.43	58247961.94	54111289.91	54971818.26	44710591.82		GMM:33.99;GMM:28.99;GMM:28.1.3	development.unspecified;DNA.unspecified;DNA.synthesis/chromatin structure.histone	GO:0043141;GO:0005524;GO:0003678	ATP-dependent 5'-3' DNA helicase activity;ATP binding;DNA helicase activity	
Cre09.g415550.t1.2	2472866711	2708877925	2509790760	2586422278	2632442896	3067964323	2569162739	2466068678	2432896341	2576771029	2579844038	2254174842	2403297376	2269839341	2088038327	3165604159	2294787784	2383269317	2900095475	2883785420	2864109791	2562324054	3429704343	2763171923	ASA2	GMM:9.9	mitochondrial electron transport / ATP synthesis.F1-ATPase			Mitochondrion
Cre09.g415700.t1.2	190205341.5	162671581.2	154145698.7	150475670.4	152675896	201394205.5	177361623.7	192602705.7	218278695.9	188849707.4	199128731.6	230773333.7	224342575.6	228364325.9	266795318.3	189792178.7	265617319.8	209500731.1	156886210.3	148364926	215364812.5	138348473.5	114385666.8	134252289.2	CAH3	GMM:8.3;GMM:1.5	TCA / organic transformation.carbonic anhydrases;PS.carbon concentrating mechanism			Chloroplast
Cre09.g415800.t1.2	411069124.3	364128234.5	454639936.2	491834848.3	377264687.6	428617727.4	377159767.3	324367719.9	399380023.4	409440046.1	466537223.1	446877056.7	391833077.3	359908876	410860192.3	421407282.2	434890785.2	422129061.3	395796140.3	419271806.6	328968591.5	418132694.8	312373615.9	322112407.6		GMM:28.99	DNA.unspecified			
Cre09.g415850.t1.2	169630997.6	161814272.6	169484374.1	161035768.4	89170600.34	168016213.1	150675014	94097057.62	130775485.2	80733114.37	145175828.9	197790736.7	139967149	138435194.4	160042706.5	168958401.5	176873498.5	192526485.3	149859844.3	145697313.3	124611657.5	153308132.9	193427447.7	130071709.6	CAG3	GMM:9.1.1.5	mitochondrial electron transport / ATP synthesis.NADH-DH (type I).complex I.carbonic anhydrase			
Cre09.g415950.t1.2	403305877.8	340611935.9	256755045.9	321498863.4	286319432.6	367455767.6	346376818	275044204.2	290443319.4	282802843.5	268249928	294178553.9	218676670.9	227391262.9	214470790.6	182348517.3	258122842.7	230667702.7	149994707.4	157124789.2	178476051.3	202772621.2	194526114	222077704.9	PRPL6	GMM:29.2.1.1.1.2.6	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L6	GO:0019843;GO:0006412;GO:0005840;GO:0003735	rRNA binding;translation;ribosome;structural constituent of ribosome	Chloroplast
Cre09.g416050.t1.2	1242351526	1325138544	1185392007	1345897094	1245617534	1204716551	1201336719	1285731776	1174789254	1237960528	1173523315	1118437680	1097527754	1210784646	1152013219	1196833405	1267727750	1217149283	1031891300	1178291723	1393403637	1299606220	1283781142	1312851582	AGS1	GMM:13.1.2.3.22;GMM:13.1.2.3	amino acid metabolism.synthesis.glutamate family.arginine.argininosuccinate synthase;amino acid metabolism.synthesis.glutamate family.arginine	GO:0006526;GO:0005524;GO:0004055	arginine biosynthetic process;ATP binding;argininosuccinate synthase activity	Chloroplast
Cre09.g416150.t1.2	748497647.2	651022736.9	773987962.2	643982725.1	724619726.9	699048343.7	669833901.7	632604882.9	563474848.3	596663141	548324842.3	650338178.9	684586626.6	639234551.7	480082140	756951153.3	689559067.4	758854330.5	745765809.1	875193246.7	702411897.9	766994675.4	693268765.2	772426484.3	ASA7	GMM:9.9	mitochondrial electron transport / ATP synthesis.F1-ATPase			Mitochondrion
Cre09.g416350.t1.2	971461800.1	989887499.7	1002686014	896795137.3	937126503.3	836767466.7	834642934.9	917117488.4	828112241.7	845534848.5	928351183.2	998739248.6	851305021	890352713	910851401.3	844212899.2	958295087.6	938841370.1	1011243764	859524026.4	1066465525	1095789374	981575371.4	892549578.2		GMM:28.1	DNA.synthesis/chromatin structure	GO:0006334;GO:0005634	nucleosome assembly;nucleus	
Cre09.g416750.t1.2	607738035.7	598488172.2	560029418.3	590838630.8	670082692.1	626493561.1	640215059.7	554287066	525471316.1	578184823.4	509652424.9	571878915	535047618.6	576901941.5	551361664.7	618374755	656347306.4	577550407	819320128	702146895.5	609947780.5	801079544.3	643092885.1	735042295.8	CCT2	GMM:29.6.2.2;GMM:29.6	protein.folding.chaperones and co-chaperones.HSP60s;protein.folding	GO:0005524	ATP binding	Cytosol
Cre09.g416800.t1.2	31003184.51	54577997.55	35484267.95	50323104.95	62887873.44	41706667.09	60736746.73	68288166.53	48451385.89	54309337.05	52003014.06	44861574.19	40514057.29	42260209.45	38574828.25	33260595.55	52880351.71	67326656.19	64024512.2	57975450.08	60043441.74	44822493.74	48734314.4	47374360.7						
Cre09.g416850.t1.2	123759378.1	142541108.7	197333656.6	168881394.4	168522681	194310922.6	194724393.2	175529593	185699786.1	161717811.5	211514675.5	185882053.3	186940791.8	130424396	204447287	105400550.4	208876163.3	159362314.3	97453403.62	150587936.5	164695589.3	61151864.05	67386590.47	134077752.1						Mitochondrion
Cre09.g417150.t1.2	583995730.2	612932193.2	630627269.6	595969784.7	603544729.5	758069495.3	557881927	584213212.1	806756688.4	526187444.9	619285979.7	603026718.6	536603187.6	594903608.4	549442025.9	492905980.4	660032170.9	615817503	366126264.7	562674011.7	612844048.1	341291348.8	548483210.7	485645376.2	CAT1	GMM:21.6	redox.dismutases and catalases	GO:0055114;GO:0020037;GO:0006979;GO:0004096	oxidation-reduction process;heme binding;response to oxidative stress;catalase activity	
Cre09.g417200.t1.2	677479607.4	840042990.5	666505390	677713190.1	637172811.9	621402160.7	728489532.2	490760948.3	548198613	429230497.8	502292661.1	524069439.3	490185916.1	494632853	475932501.5	532779711.2	477132383.5	470940911.3	483996588.6	485769862.9	413516931.2	352335164.1	491891534.3	379210979.2						
Cre-1.g000035.t1.p1	317956583.2	332169074.6	364045884.7	340809411.4	350876547.1	338945786.9	288028687.6	276051025.1	336435699.1	296444700.1	269158679.3	293532007.7	309580945.6	280196906.7	251771557.8	213620369.9	292908347.9	267346791.7	108760323.5	244435030.7	257314311.7	160333951.7	129342038.4	155138564.4	ORF1995					Chloroplast
Cre-1.g2716952.t1.p1	118479442.2	163539741.7	177433323.1	154988337	118827719.4	151531989.9	121034207.7	105916492.9	137649791.1	129988024.3	128324662.3	149186183.8	109688054.6	106575299	120776321	156218017.1	148411758.2	113445672.3	105934942.1	79947870.89	143514699.6	48999127.1	102386365.7	129257203.1	rps8	GMM:29.2.1.1.1.1.8	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S8			Chloroplast
Cre-1.g2716955.t1.p1	301977524.3	301913679.8	279563336.7	275833884.1	332736148.5	250139477.6	296924224.1	240105375	251551271.5	285112633.2	267285080.9	222455603.3	239398667.1	229099780.6	236402952	186472898.9	209327175.4	171921125.9	167944982.1	161799119.5	179609821.6	178880297.2	171951632.1	177953059.1	rps4	GMM:29.2.1.1.1.1.4	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S4			Chloroplast
Cre-1.g2716958.t1.p1	79034259.02	100305098.4	88812528.26	48556980.1	136690104.2	93680201.59	100738107.6	115688011.6	248885724.4	128144530.1	131858695.3	99917610.42	116168078.3	114719610.6	98974051.24	135436501	67572365.62	40712648.47	124287108.8	127336447.8	133422649.5	104873114.4	110675077	114621019	psaJ	GMM:1.1.2.2	PS.lightreaction.photosystem I.PSI polypeptide subunits			Chloroplast
Cre-1.g2716959.t1.p1	2031556899	1803712042	1492804626	1526060155	1893505460	1248277344	1426141204	1423152125	1541185079	1189053713	1272364046	1629558720	1103080113	1358667604	1399382251	972393595.9	1225217464	1529909203	849785695.7	788447770	949037848.2	991741424.5	796957983.2	868945510.8	atpI	GMM:1.1.4	PS.lightreaction.ATP synthase			Chloroplast
Cre-1.g2716961.t1.p1	7917583093	7376977148	7921387280	8159794629	7522705132	7611131661	8478764183	7670690341	8451031564	8930861529	7658754217	8845451975	9781122831	9678243743	9879243271	10467313377	11022926852	11693154134	12421698003	10475306378	12745639010	12780407022	11375341543	13179214695	psbD	GMM:1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits			Chloroplast
Cre-1.g2716963.t1.p1	11090186372	9702236635	9937384538	11118912775	9944900114	9393494115	9254103541	8116155058	8043405492	10290926433	9015037521	9651013682	12688674372	12959842388	15285842925	14354825570	12688792702	14056767023	16654240618	13439000015	15153354741	15286547227	14552145354	14115897231	psbC	GMM:1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits			Chloroplast
Cre-1.g2716972.t1.p1	533644868.4	517119825.6	443886885.6	538175582.2	492362388.8	552523983.5	488189241.9	465847485.2	665732096.4	507828412.2	446780296.2	529626242.4	416086328.7	358811351.3	459747761.8	406110346.1	481277856.1	333607352.9	386598478.9	328693138.8	327731751.3	283075800.3	237208261.1	346414623.5	atpE	GMM:1.1.4	PS.lightreaction.ATP synthase			Chloroplast
